TransactionDate,Posted Date,Card No.,Description,Category,Debit,Credit
12/26/2022,12/27/2022,5983,GEOCODIO UNLIMITED,Merchandise,-1000,
12/26/2022,12/27/2022,5983,Upwork -542764589REF,Other Services,322,
12/21/2022,12/21/2022,5983,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1000
12/19/2022,12/20/2022,5983,Upwork -540878788REF,Other Services,994,
12/19/2022,12/20/2022,5983,CODECADEMY,Other Services,149.94,
12/16/2022,12/17/2022,5983,MAILJET INC.,Other Services,60.98,
12/15/2022,12/15/2022,5983,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1000
12/13/2022,12/13/2022,5983,MULTILOGIN CHARGE,Internet,104.76,
12/12/2022,12/13/2022,5983,Upwork -538895872REF,Other Services,336,
12/12/2022,12/13/2022,5983,CLOUDFLARE,Merchandise,20,
12/9/2022,12/10/2022,5983,LOOM SUBSCRIPTION,Merchandise,11,
12/8/2022,12/8/2022,5983,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1000
12/6/2022,12/7/2022,5983,Payoneer.com*476122683,Other Services,1668.8,
12/6/2022,12/7/2022,5983,CALENDLY,Merchandise,10,
12/6/2022,12/6/2022,5983,CAPITAL ONE ONLINE PYMT,Payment/Credit,,4000
12/2/2022,12/3/2022,5983,Amazon web services,Other Services,1098.47,
12/2/2022,12/2/2022,5983,"MAILGUN TECHNOLOGIES,",Merchandise,7.24,
12/1/2022,12/2/2022,5983,PWP*Privacy.com Business,Other Services,10,
12/1/2022,12/2/2022,5983,Google LLC GSUITE_importy,Internet,24,
12/1/2022,12/2/2022,5983,ZOHO-ONE,Internet,69,
11/28/2022,12/1/2022,5983,PAYPAL *APRILMAY7714,Professional Services,250,
11/28/2022,11/29/2022,5983,Upwork -534798059REF,Other Services,140,
11/27/2022,11/28/2022,5983,PAYPAL *ALLINFO COM,Other Services,300,
11/27/2022,11/28/2022,5983,PAYPAL *UDEMY,Other,9.99,
11/21/2022,11/22/2022,5983,Upwork -532871867REF,Other Services,224,
11/16/2022,11/17/2022,5983,MAILJET INC.,Other Services,54.7,
11/14/2022,11/15/2022,5983,PADDLE.NET* LIT N LAT,Internet,95.98,
11/14/2022,11/15/2022,5983,Upwork -530822223REF,Other Services,196,
11/13/2022,11/14/2022,5983,Payoneer.com*467675121,Other Services,1789.72,
11/13/2022,11/14/2022,5983,MULTILOGIN CHARGE,Internet,102.62,
11/12/2022,11/14/2022,5983,CLOUDFLARE,Merchandise,20,
11/7/2022,11/8/2022,5983,PAYPAL *APRILMAY7714,Professional Services,250,
11/6/2022,11/7/2022,5983,CALENDLY,Merchandise,10,
11/2/2022,11/3/2022,5983,Amazon web services,Other Services,936.52,
11/1/2022,11/2/2022,5983,PWP*Privacy.com Business,Other Services,10,
11/2/2022,11/2/2022,5983,"MAILGUN TECHNOLOGIES,",Merchandise,4.83,
11/1/2022,11/2/2022,5983,GOOGLE *GSUITE_importy,Other Services,24,
11/1/2022,11/2/2022,5983,ZOHO-ONE,Internet,69,
10/31/2022,11/1/2022,5983,Upwork -526685572REF,Other Services,140,
10/28/2022,10/29/2022,5983,PAYPAL *ALLINFO COM,Other Services,300,
10/28/2022,10/29/2022,5983,PAYPAL *UDEMY,Other,54.99,
10/28/2022,10/29/2022,5983,RUSHORDERT* RUSHORDERT,Merchandise,36.24,
10/27/2022,10/28/2022,5983,PAYPAL *PATAGONIA,Merchandise,246.75,
10/24/2022,10/25/2022,5983,Upwork -524701765REF,Other Services,196,
10/21/2022,10/21/2022,5983,CAPITAL ONE ONLINE PYMT,Payment/Credit,,2818.79
10/18/2022,10/19/2022,5983,PAYPAL *UDEMY,Other,14.99,
10/17/2022,10/18/2022,5983,Upwork -522691686REF,Other Services,710.5,
10/16/2022,10/17/2022,5983,PAYONEER INC,Other Services,437,
10/16/2022,10/17/2022,5983,MAILJET INC.,Other Services,50.66,
10/13/2022,10/13/2022,5983,MULTILOGIN CHARGE,Internet,96.39,
10/12/2022,10/13/2022,5983,CLOUDFLARE,Merchandise,20,
10/10/2022,10/11/2022,5983,Upwork -520711619REF,Other Services,609,
10/7/2022,10/8/2022,5983,PAYPRO DEBOUNCE,Internet,90,
10/6/2022,10/7/2022,5983,CALENDLY,Merchandise,10,
10/3/2022,10/4/2022,5983,Upwork -518698223REF,Other Services,252,
10/2/2022,10/3/2022,5983,PAYPAL *RUSH TEES,Merchandise,36.04,
10/2/2022,10/3/2022,5983,Amazon web services,Other Services,1053.44,
10/1/2022,10/3/2022,5983,PWP*Privacy.com Business,Other Services,10,
10/2/2022,10/3/2022,5983,"MAILGUN TECHNOLOGIES,",Merchandise,3.15,
10/1/2022,10/3/2022,5983,Google LLC GSUITE_importy,Internet,24,
10/1/2022,10/3/2022,5983,ZOHO-ONE,Internet,55.2,
9/30/2022,10/1/2022,5983,PAYONEER INC,Other Services,244.11,
9/30/2022,10/1/2022,5983,PAYPAL *ALLINFO COM,Other Services,300,
