Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Tax Name,Tax Type,Tax Percentage,Exemption Code,Tax Authority,Item Tax Exemption Reason,Project Name
12/27/2022,,,1,Payments,both,USD,Data Costs Expenses,This is a Refund to our Credit Card GeoCodio,GeoCodio,1000.0,,,,,,,,
12/27/2022,,,1,Payments,both,USD,Capital One,This is a Refund to our Credit Card GeoCodio,GeoCodio,,1000.0,,,,,,,
12/27/2022,,,2,Payments,both,USD,Contractor Expenses,This is a payment to a Vendor Upwork,Upwork,322.0,,,,,,,,
12/27/2022,,,2,Payments,both,USD, Accounts Payable - Upwork,This is a payment to a Vendor Upwork,Upwork,,322.0,,,,,,,
12/21/2022,,,3,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,1000.0,,,,,,,,
12/21/2022,,,3,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,1000.0,,,,,,,
12/15/2022,,,4,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,1000.0,,,,,,,,
12/15/2022,,,4,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,1000.0,,,,,,,
12/08/2022,,,5,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,1000.0,,,,,,,,
12/08/2022,,,5,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,1000.0,,,,,,,
12/06/2022,,,6,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,4000.0,,,,,,,,
12/06/2022,,,6,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,4000.0,,,,,,,
10/21/2022,,,7,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,2818.79,,,,,,,,
10/21/2022,,,7,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,2818.79,,,,,,,
09/29/2022,,,8,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,3336.46,,,,,,,,
09/29/2022,,,8,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,3336.46,,,,,,,
09/19/2022,,,9,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,2694.97,,,,,,,,
09/19/2022,,,9,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,2694.97,,,,,,,
08/25/2022,,,10,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,1663.58,,,,,,,,
08/25/2022,,,10,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,1663.58,,,,,,,
07/25/2022,,,11,Payments,both,USD,Capital One,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,91.75,,,,,,,,
07/25/2022,,,11,Payments,both,USD,Uncategorized Revenue - Mercury 3320,This is a payment of the CAPITAL ONE Credit Card Balance ,Capital One,,91.75,,,,,,,
